rank,phase,split,signal_kind,sigma_strategy,gmm_components,single_sigma_index,smoothing_sigma,micro_auc,macro_auc,clip_auc
1,val_sweep,val,score_norm,single_sigma,,0,0,0.5,0.9985201449358163,0.5
2,val_sweep,val,score_norm,single_sigma,,0,1,0.5,0.9985201449358163,0.5
3,val_sweep,val,score_norm,single_sigma,,0,3,0.5,0.9985201449358163,0.5
4,val_sweep,val,score_norm,single_sigma,,0,5,0.5,0.9985201449358163,0.5
5,val_sweep,val,score_norm,single_sigma,,0,7,0.5,0.9985201449358163,0.5
6,val_sweep,val,score_norm,single_sigma,,0,10,0.5,0.9985201449358163,0.5
7,val_sweep,val,score_norm,single_sigma,,0,15,0.5,0.9985201449358163,0.5
8,val_sweep,val,score_norm,single_sigma,,0,20,0.5,0.9985201449358163,0.5
9,val_sweep,val,score_norm,single_sigma,,1,0,0.5,0.9985201449358163,0.5
10,val_sweep,val,score_norm,single_sigma,,1,1,0.5,0.9985201449358163,0.5
11,val_sweep,val,score_norm,single_sigma,,1,3,0.5,0.9985201449358163,0.5
12,val_sweep,val,score_norm,single_sigma,,1,5,0.5,0.9985201449358163,0.5
13,val_sweep,val,score_norm,single_sigma,,1,7,0.5,0.9985201449358163,0.5
14,val_sweep,val,score_norm,single_sigma,,1,10,0.5,0.9985201449358163,0.5
15,val_sweep,val,score_norm,single_sigma,,1,15,0.5,0.9985201449358163,0.5
16,val_sweep,val,score_norm,single_sigma,,1,20,0.5,0.9985201449358163,0.5
17,val_sweep,val,score_norm,single_sigma,,2,0,0.5,0.9985201449358163,0.5
18,val_sweep,val,score_norm,single_sigma,,2,1,0.5,0.9985201449358163,0.5
19,val_sweep,val,score_norm,single_sigma,,2,3,0.5,0.9985201449358163,0.5
20,val_sweep,val,score_norm,single_sigma,,2,5,0.5,0.9985201449358163,0.5
21,val_sweep,val,score_norm,single_sigma,,2,7,0.5,0.9985201449358163,0.5
22,val_sweep,val,score_norm,single_sigma,,2,10,0.5,0.9985201449358163,0.5
23,val_sweep,val,score_norm,single_sigma,,2,15,0.5,0.9985201449358163,0.5
24,val_sweep,val,score_norm,single_sigma,,2,20,0.5,0.9985201449358163,0.5
25,val_sweep,val,score_norm,single_sigma,,3,0,0.5,0.9985201449358163,0.5
26,val_sweep,val,score_norm,single_sigma,,3,1,0.5,0.9985201449358163,0.5
27,val_sweep,val,score_norm,single_sigma,,3,3,0.5,0.9985201449358163,0.5
28,val_sweep,val,score_norm,single_sigma,,3,5,0.5,0.9985201449358163,0.5
29,val_sweep,val,score_norm,single_sigma,,3,7,0.5,0.9985201449358163,0.5
30,val_sweep,val,score_norm,single_sigma,,3,10,0.5,0.9985201449358163,0.5
31,val_sweep,val,score_norm,single_sigma,,3,15,0.5,0.9985201449358163,0.5
32,val_sweep,val,score_norm,single_sigma,,3,20,0.5,0.9985201449358163,0.5
33,val_sweep,val,score_norm,single_sigma,,4,0,0.5,0.9985201449358163,0.5
34,val_sweep,val,score_norm,single_sigma,,4,1,0.5,0.9985201449358163,0.5
35,val_sweep,val,score_norm,single_sigma,,4,3,0.5,0.9985201449358163,0.5
36,val_sweep,val,score_norm,single_sigma,,4,5,0.5,0.9985201449358163,0.5
37,val_sweep,val,score_norm,single_sigma,,4,7,0.5,0.9985201449358163,0.5
38,val_sweep,val,score_norm,single_sigma,,4,10,0.5,0.9985201449358163,0.5
39,val_sweep,val,score_norm,single_sigma,,4,15,0.5,0.9985201449358163,0.5
40,val_sweep,val,score_norm,single_sigma,,4,20,0.5,0.9985201449358163,0.5
41,val_sweep,val,score_norm,single_sigma,,5,0,0.5,0.9985201449358163,0.5
42,val_sweep,val,score_norm,single_sigma,,5,1,0.5,0.9985201449358163,0.5
43,val_sweep,val,score_norm,single_sigma,,5,3,0.5,0.9985201449358163,0.5
44,val_sweep,val,score_norm,single_sigma,,5,5,0.5,0.9985201449358163,0.5
45,val_sweep,val,score_norm,single_sigma,,5,7,0.5,0.9985201449358163,0.5
46,val_sweep,val,score_norm,single_sigma,,5,10,0.5,0.9985201449358163,0.5
47,val_sweep,val,score_norm,single_sigma,,5,15,0.5,0.9985201449358163,0.5
48,val_sweep,val,score_norm,single_sigma,,5,20,0.5,0.9985201449358163,0.5
49,val_sweep,val,score_norm,single_sigma,,6,0,0.5,0.9985201449358163,0.5
50,val_sweep,val,score_norm,single_sigma,,6,1,0.5,0.9985201449358163,0.5
51,val_sweep,val,score_norm,single_sigma,,6,3,0.5,0.9985201449358163,0.5
52,val_sweep,val,score_norm,single_sigma,,6,5,0.5,0.9985201449358163,0.5
53,val_sweep,val,score_norm,single_sigma,,6,7,0.5,0.9985201449358163,0.5
54,val_sweep,val,score_norm,single_sigma,,6,10,0.5,0.9985201449358163,0.5
55,val_sweep,val,score_norm,single_sigma,,6,15,0.5,0.9985201449358163,0.5
56,val_sweep,val,score_norm,single_sigma,,6,20,0.5,0.9985201449358163,0.5
57,val_sweep,val,score_norm,single_sigma,,7,0,0.5,0.9985201449358163,0.5
58,val_sweep,val,score_norm,single_sigma,,7,1,0.5,0.9985201449358163,0.5
59,val_sweep,val,score_norm,single_sigma,,7,3,0.5,0.9985201449358163,0.5
60,val_sweep,val,score_norm,single_sigma,,7,5,0.5,0.9985201449358163,0.5
61,val_sweep,val,score_norm,single_sigma,,7,7,0.5,0.9985201449358163,0.5
62,val_sweep,val,score_norm,single_sigma,,7,10,0.5,0.9985201449358163,0.5
63,val_sweep,val,score_norm,single_sigma,,7,15,0.5,0.9985201449358163,0.5
64,val_sweep,val,score_norm,single_sigma,,7,20,0.5,0.9985201449358163,0.5
65,val_sweep,val,score_norm,single_sigma,,8,0,0.5,0.9985201449358163,0.5
66,val_sweep,val,score_norm,single_sigma,,8,1,0.5,0.9985201449358163,0.5
67,val_sweep,val,score_norm,single_sigma,,8,3,0.5,0.9985201449358163,0.5
68,val_sweep,val,score_norm,single_sigma,,8,5,0.5,0.9985201449358163,0.5
69,val_sweep,val,score_norm,single_sigma,,8,7,0.5,0.9985201449358163,0.5
70,val_sweep,val,score_norm,single_sigma,,8,10,0.5,0.9985201449358163,0.5
71,val_sweep,val,score_norm,single_sigma,,8,15,0.5,0.9985201449358163,0.5
72,val_sweep,val,score_norm,single_sigma,,8,20,0.5,0.9985201449358163,0.5
73,val_sweep,val,score_norm,single_sigma,,9,0,0.5,0.9985201449358163,0.5
74,val_sweep,val,score_norm,single_sigma,,9,1,0.5,0.9985201449358163,0.5
75,val_sweep,val,score_norm,single_sigma,,9,3,0.5,0.9985201449358163,0.5
76,val_sweep,val,score_norm,single_sigma,,9,5,0.5,0.9985201449358163,0.5
77,val_sweep,val,score_norm,single_sigma,,9,7,0.5,0.9985201449358163,0.5
78,val_sweep,val,score_norm,single_sigma,,9,10,0.5,0.9985201449358163,0.5
79,val_sweep,val,score_norm,single_sigma,,9,15,0.5,0.9985201449358163,0.5
80,val_sweep,val,score_norm,single_sigma,,9,20,0.5,0.9985201449358163,0.5
81,val_sweep,val,score_norm,single_sigma,,10,0,0.5,0.9985201449358163,0.5
82,val_sweep,val,score_norm,single_sigma,,10,1,0.5,0.9985201449358163,0.5
83,val_sweep,val,score_norm,single_sigma,,10,3,0.5,0.9985201449358163,0.5
84,val_sweep,val,score_norm,single_sigma,,10,5,0.5,0.9985201449358163,0.5
85,val_sweep,val,score_norm,single_sigma,,10,7,0.5,0.9985201449358163,0.5
86,val_sweep,val,score_norm,single_sigma,,10,10,0.5,0.9985201449358163,0.5
87,val_sweep,val,score_norm,single_sigma,,10,15,0.5,0.9985201449358163,0.5
88,val_sweep,val,score_norm,single_sigma,,10,20,0.5,0.9985201449358163,0.5
89,val_sweep,val,score_norm,single_sigma,,11,0,0.5,0.9985201449358163,0.5
90,val_sweep,val,score_norm,single_sigma,,11,1,0.5,0.9985201449358163,0.5
91,val_sweep,val,score_norm,single_sigma,,11,3,0.5,0.9985201449358163,0.5
92,val_sweep,val,score_norm,single_sigma,,11,5,0.5,0.9985201449358163,0.5
93,val_sweep,val,score_norm,single_sigma,,11,7,0.5,0.9985201449358163,0.5
94,val_sweep,val,score_norm,single_sigma,,11,10,0.5,0.9985201449358163,0.5
95,val_sweep,val,score_norm,single_sigma,,11,15,0.5,0.9985201449358163,0.5
96,val_sweep,val,score_norm,single_sigma,,11,20,0.5,0.9985201449358163,0.5
97,val_sweep,val,score_norm,single_sigma,,12,0,0.5,0.9985201449358163,0.5
98,val_sweep,val,score_norm,single_sigma,,12,1,0.5,0.9985201449358163,0.5
99,val_sweep,val,score_norm,single_sigma,,12,3,0.5,0.9985201449358163,0.5
100,val_sweep,val,score_norm,single_sigma,,12,5,0.5,0.9985201449358163,0.5
101,val_sweep,val,score_norm,single_sigma,,12,7,0.5,0.9985201449358163,0.5
102,val_sweep,val,score_norm,single_sigma,,12,10,0.5,0.9985201449358163,0.5
103,val_sweep,val,score_norm,single_sigma,,12,15,0.5,0.9985201449358163,0.5
104,val_sweep,val,score_norm,single_sigma,,12,20,0.5,0.9985201449358163,0.5
105,val_sweep,val,score_norm,single_sigma,,13,0,0.5,0.9985201449358163,0.5
106,val_sweep,val,score_norm,single_sigma,,13,1,0.5,0.9985201449358163,0.5
107,val_sweep,val,score_norm,single_sigma,,13,3,0.5,0.9985201449358163,0.5
108,val_sweep,val,score_norm,single_sigma,,13,5,0.5,0.9985201449358163,0.5
109,val_sweep,val,score_norm,single_sigma,,13,7,0.5,0.9985201449358163,0.5
110,val_sweep,val,score_norm,single_sigma,,13,10,0.5,0.9985201449358163,0.5
111,val_sweep,val,score_norm,single_sigma,,13,15,0.5,0.9985201449358163,0.5
112,val_sweep,val,score_norm,single_sigma,,13,20,0.5,0.9985201449358163,0.5
113,val_sweep,val,score_norm,single_sigma,,14,0,0.5,0.9985201449358163,0.5
114,val_sweep,val,score_norm,single_sigma,,14,1,0.5,0.9985201449358163,0.5
115,val_sweep,val,score_norm,single_sigma,,14,3,0.5,0.9985201449358163,0.5
116,val_sweep,val,score_norm,single_sigma,,14,5,0.5,0.9985201449358163,0.5
117,val_sweep,val,score_norm,single_sigma,,14,7,0.5,0.9985201449358163,0.5
118,val_sweep,val,score_norm,single_sigma,,14,10,0.5,0.9985201449358163,0.5
119,val_sweep,val,score_norm,single_sigma,,14,15,0.5,0.9985201449358163,0.5
120,val_sweep,val,score_norm,single_sigma,,14,20,0.5,0.9985201449358163,0.5
121,val_sweep,val,score_norm,single_sigma,,15,0,0.5,0.9985201449358163,0.5
122,val_sweep,val,score_norm,single_sigma,,15,1,0.5,0.9985201449358163,0.5
123,val_sweep,val,score_norm,single_sigma,,15,3,0.5,0.9985201449358163,0.5
124,val_sweep,val,score_norm,single_sigma,,15,5,0.5,0.9985201449358163,0.5
125,val_sweep,val,score_norm,single_sigma,,15,7,0.5,0.9985201449358163,0.5
126,val_sweep,val,score_norm,single_sigma,,15,10,0.5,0.9985201449358163,0.5
127,val_sweep,val,score_norm,single_sigma,,15,15,0.5,0.9985201449358163,0.5
128,val_sweep,val,score_norm,single_sigma,,15,20,0.5,0.9985201449358163,0.5
129,val_sweep,val,score_norm,median,,,0,0.5,0.9985201449358163,0.5
130,val_sweep,val,score_norm,median,,,1,0.5,0.9985201449358163,0.5
131,val_sweep,val,score_norm,median,,,3,0.5,0.9985201449358163,0.5
132,val_sweep,val,score_norm,median,,,5,0.5,0.9985201449358163,0.5
133,val_sweep,val,score_norm,median,,,7,0.5,0.9985201449358163,0.5
134,val_sweep,val,score_norm,median,,,10,0.5,0.9985201449358163,0.5
135,val_sweep,val,score_norm,median,,,15,0.5,0.9985201449358163,0.5
136,val_sweep,val,score_norm,median,,,20,0.5,0.9985201449358163,0.5
137,val_sweep,val,score_norm,mean,,,0,0.5,0.9985201449358163,0.5
138,val_sweep,val,score_norm,mean,,,1,0.5,0.9985201449358163,0.5
139,val_sweep,val,score_norm,mean,,,3,0.5,0.9985201449358163,0.5
140,val_sweep,val,score_norm,mean,,,5,0.5,0.9985201449358163,0.5
141,val_sweep,val,score_norm,mean,,,7,0.5,0.9985201449358163,0.5
142,val_sweep,val,score_norm,mean,,,10,0.5,0.9985201449358163,0.5
143,val_sweep,val,score_norm,mean,,,15,0.5,0.9985201449358163,0.5
144,val_sweep,val,score_norm,mean,,,20,0.5,0.9985201449358163,0.5
145,val_sweep,val,score_norm,max,,,0,0.5,0.9985201449358163,0.5
146,val_sweep,val,score_norm,max,,,1,0.5,0.9985201449358163,0.5
147,val_sweep,val,score_norm,max,,,3,0.5,0.9985201449358163,0.5
148,val_sweep,val,score_norm,max,,,5,0.5,0.9985201449358163,0.5
149,val_sweep,val,score_norm,max,,,7,0.5,0.9985201449358163,0.5
150,val_sweep,val,score_norm,max,,,10,0.5,0.9985201449358163,0.5
151,val_sweep,val,score_norm,max,,,15,0.5,0.9985201449358163,0.5
152,val_sweep,val,score_norm,max,,,20,0.5,0.9985201449358163,0.5
153,val_sweep,val,score_norm,gmm,1,,0,0.5,0.9985201449358163,0.5
154,val_sweep,val,score_norm,gmm,1,,1,0.5,0.9985201449358163,0.5
155,val_sweep,val,score_norm,gmm,1,,3,0.5,0.9985201449358163,0.5
156,val_sweep,val,score_norm,gmm,1,,5,0.5,0.9985201449358163,0.5
157,val_sweep,val,score_norm,gmm,1,,10,0.5,0.9985201449358163,0.5
158,val_sweep,val,score_norm,gmm,1,,15,0.5,0.9985201449358163,0.5
159,val_sweep,val,score_norm,gmm,1,,20,0.5,0.9985201449358163,0.5
160,val_sweep,val,score_norm,gmm,3,,0,0.5,0.9985201449358163,0.5
161,val_sweep,val,score_norm,gmm,3,,1,0.5,0.9985201449358163,0.5
162,val_sweep,val,score_norm,gmm,3,,3,0.5,0.9985201449358163,0.5
163,val_sweep,val,score_norm,gmm,3,,5,0.5,0.9985201449358163,0.5
164,val_sweep,val,score_norm,gmm,3,,7,0.5,0.9985201449358163,0.5
165,val_sweep,val,score_norm,gmm,3,,10,0.5,0.9985201449358163,0.5
166,val_sweep,val,score_norm,gmm,3,,15,0.5,0.9985201449358163,0.5
167,val_sweep,val,score_norm,gmm,3,,20,0.5,0.9985201449358163,0.5
168,val_sweep,val,score_norm,gmm,5,,0,0.5,0.9985201449358163,0.5
169,val_sweep,val,score_norm,gmm,5,,1,0.5,0.9985201449358163,0.5
170,val_sweep,val,score_norm,gmm,5,,3,0.5,0.9985201449358163,0.5
171,val_sweep,val,score_norm,gmm,5,,5,0.5,0.9985201449358163,0.5
172,val_sweep,val,score_norm,gmm,5,,7,0.5,0.9985201449358163,0.5
173,val_sweep,val,score_norm,gmm,5,,10,0.5,0.9985201449358163,0.5
174,val_sweep,val,score_norm,gmm,5,,15,0.5,0.9985201449358163,0.5
175,val_sweep,val,score_norm,gmm,5,,20,0.5,0.9985201449358163,0.5
176,val_sweep,val,log_density,single_sigma,,0,0,0.5,0.9985201449358163,0.5
177,val_sweep,val,log_density,single_sigma,,0,1,0.5,0.9985201449358163,0.5
